name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
Mallow,HSE,,"9 West End, Mallow, Co. Cork.",52.13787,-8.64878,,,,,,,
Doneraile,HSE,,"Main Street, Doneraile, Co. Cork.",52.21683,-8.58477,,,,,,,
Mount Alvernia,HSE,,"Mount Alvernia Hospital, Mallow, Co. Cork.",52.12435,-8.68462,,,,,,,
Mallow,HSE,,"O'Brien Street, Mallow, Co. Cork.",52.13661,-8.6425,,,,,,,
Douglas ,HSE,,"Community Centre, Douglas, Cork",51.8734,-8.43686,,,,,,,
Mallow,HSE,,"Solas Nua Residential Home, Mallow, Co. Cork.",52.14505,-8.6413,,,,,,,
Castlegregory,HSE,,"Dr. Sills Surgery, Castlegregory, Co. Kerry",52.25659,-10.02156,,,,,,,
Youghal Health Centre,HSE,,"Unit 4a, Millennium Court, Foxhole, Youghal, Co. Cork",51.97141,-7.86388,,,,,,,
Killorglin,HSE,,"HSE, Health Centre, 2 Mill Road, Co. Kerry",52.10826,-9.78782,,,,,,,
Owenacurra Mental Health,HSE,,"HSE, Owenacurra Centre, The Green, Midleton, Co. Cork",51.91742,-8.17458,,,,,,,
Midleton ,HSE,,"Health Centre, HSE, Midleton Community Hospital, Midleton, Co. Cork",51.91776,-8.1728,,,,,,,
